word,score,globalContribution,positionalContribution
seamy,4.097883517215191,2.3809133348970875,1.716970182318104
spile,4.097880311297288,2.4632356131970465,1.6346446981002423
brast,4.097777694620049,2.4455017089624627,1.6522759856575868
sture,4.097285291803588,2.5351807969644913,1.5621044948390965
parte,4.097194941684879,2.5038655048168708,1.593329436868009
spine,4.096265390303016,2.441675549432105,1.6545898408709112
boart,4.096101994613804,2.455011239878349,1.6410907547354547
scone,4.095481420848705,2.4944981360410905,1.6009832848076142
corny,4.094367891053259,2.4454090989933053,1.6489587920599535
boast,4.09377452430199,2.432989888321291,1.660784635980699
grone,4.093669726479167,2.4400112885343033,1.6536584379448631
curet,4.092735533244151,2.485078742916113,1.6076567903280379
soled,4.0926299234075305,2.4803319533245025,1.6122979700830276
brant,4.092556361096596,2.4294903465884907,1.663066014508105
faire,4.09225707987183,2.4022528501237583,1.6900042297480722
moile,4.092222916065217,2.443623293881183,1.648599622184034
later,4.091505176255531,2.6082072332374517,1.4832979430180788
spore,4.091408310987948,2.4838398769908876,1.6075684339970602
plore,4.0911448021595955,2.4893885783818575,1.6017562237777376
paint,4.091085248126725,2.463296747642215,1.62778850048451
cluey,4.0909816675589505,2.3967971246190496,1.694184542939901
saber,4.09094845175923,2.444803129436332,1.646145322322898
serin,4.09094287103413,2.5624899280187745,1.528452943015356
sonde,4.090622363175596,2.4587718895595607,1.6318504736160357
sider,4.089951646711347,2.4926729898628386,1.5972786568485084
setal,4.089364328176186,2.5861858816803935,1.503178446495792
react,4.089066764456066,2.5525564777981047,1.5365102866579616
praty,4.089002125482931,2.432755116212027,1.6562470092709043
hoise,4.088584735600211,2.4847693023653044,1.6038154332349066
sabre,4.088194801376677,2.4448031294363317,1.6433916719403454
soyle,4.087763892128137,2.5029638257813267,1.5848000663468103
shule,4.087444717700592,2.4288754393542407,1.6585692783463517
glare,4.087282435404934,2.4729844400673375,1.6142979953375969
drant,4.086445713662421,2.4929049084108423,1.5935408052515783
tried,4.086357992906103,2.5012855299207297,1.5850724629853727
slaid,4.085794770447453,2.4892089978489693,1.5965857725984838
liart,4.085548466528694,2.605671189993826,1.4798772765348676
peart,4.084986226929148,2.503865504816871,1.581120722112277
grace,4.084903448312943,2.41733368462799,1.667569763684953
faine,4.0847082760365625,2.3642201361927278,1.7204881398438348
frate,4.083814452219329,2.4054874728935145,1.6783269793258149
olate,4.083575525862723,2.5956954125962803,1.4878801132664425
alure,4.083132896674799,2.553039576981549,1.53009331969325
train,4.082388026731458,2.5841111262288843,1.4982769005025731
sable,4.082260918535682,2.428330479270243,1.653930439265439
urate,4.081609618828287,2.55610341564847,1.5255062031798166
peasy,4.0814694577907735,2.410035185128838,1.6714342726619353
ronte,4.081355662249159,2.575234081704418,1.5061215805447405
sidle,4.0812641134878,2.4762003396967502,1.6050637737910498
snarl,4.081010868328367,2.5756693702738285,1.505341498054538
solde,4.079929966002366,2.4803319533245025,1.5995980126778635
alter,4.079592429821128,2.6082072332374517,1.4713851965836762
artel,4.079255467044779,2.6082072332374517,1.4710482338073267
route,4.078754177189631,2.544690327880378,1.5340638493092529
caste,4.078493684850996,2.530535126241046,1.5479585586099502
truce,4.077271046060195,2.485078742916113,1.5921923031440826
drice,4.07724797503394,2.442570935814461,1.6346770392194787
cried,4.076328723293281,2.4425709358144605,1.6337577874788205
spite,4.076087377766088,2.4662994518639683,1.6097879259021202
scote,4.075303408311777,2.5191220384729536,1.5561813698388232
satin,4.075175733708729,2.562089774671826,1.513085959036903
space,4.075093228986456,2.4231295591535438,1.6519636698329125
tiler,4.075040245153731,2.592662531841607,1.4823777133121239
place,4.074829720158103,2.428678260544513,1.6461514596135896
orant,4.0747186533178,2.588242739856637,1.4864759134611627
sadly,4.074430707580607,2.4206346524877507,1.6537960550928565
stray,4.0743123237963275,2.531548143241638,1.5427641805546892
tansy,4.073818115725403,2.493515429310608,1.5803026864147949
ruote,4.073663210202762,2.544690327880378,1.5289728823223836
tride,4.073658035500939,2.50128552992073,1.5723725055802085
dairy,4.073521029951433,2.4424852199419744,1.6310358100094586
blore,4.07333172640977,2.438938743059209,1.634392983350561
palet,4.072857763213887,2.4873928546507824,1.5854649085631045
trape,4.072534732152102,2.5038655048168708,1.5686692273352305
loner,4.072279356499309,2.5721702430374966,1.5001091134618127
cruel,4.07203745114557,2.482014904249192,1.5900225468963776
roset,4.071768263844439,2.59124544407839,1.4805228197660494
biose,4.071731729830651,2.4167466073993156,1.6549851224313348
borne,4.071438456420011,2.4173786792942673,1.6540597771257435
daisy,4.071193559639619,2.420463868384916,1.6507296912547031
snail,4.0707382343619605,2.559025936004905,1.511712298357056
dorse,4.0705491425092895,2.496804603490591,1.573744539018699
oriel,4.070316589387514,2.593559522699603,1.4767570666879106
anise,4.0700401624252045,2.561391195145695,1.5086489672795094
porte,4.069073519632907,2.4924524170487787,1.5766211025841286
salut,4.06818556138486,2.5317168049506216,1.536468756434239
curse,4.0678578600861925,2.476466202858222,1.59139165722797
cosie,4.067826445204814,2.515887415703197,1.5519390295016162
daily,4.067587147110437,2.426012569775885,1.6415745773345523
